Time,State,Pump 1 Voltage,Pump 2 Voltage
2259.37207,Idle,0,0
2259.971924,Idle,0,0
2260.572021,Idle,0,0
2261.172119,Idle,0,0
2261.771973,Idle,0,0
2262.37207,Idle,0,0
2262.971924,Idle,0,0
2263.572021,Idle,0,0
2264.172119,Idle,0,0
2264.771973,Idle,0,0
2265.37207,Idle,0,0
2265.971924,Idle,0,0
2266.572021,Idle,0,0
2267.172119,Idle,0,0
2267.771973,Idle,0,0
2268.37207,Idle,0,0
2268.971924,Idle,0,0
2269.572021,Idle,0,0
2270.172119,Idle,0,0
2270.771973,Idle,0,0
2271.37207,Idle,0,0
2271.971924,Idle,0,0
2272.572021,Idle,0,0
2273.172119,Idle,0,0
2273.771973,Idle,0,0
2274.37207,Idle,0,0
2274.971924,Idle,0,0
2275.572021,Idle,0,0
2276.172119,Idle,0,0
2276.771973,Idle,0,0
2277.37207,Idle,0,0
2277.971924,Idle,0,0
2278.572021,Idle,0,0
2279.172119,Idle,0,0
2279.771973,Idle,0,0
2280.37207,Idle,0,0
2280.971924,Idle,0,0
2281.572021,Idle,0,0
2282.172119,Idle,0,0
2282.771973,Idle,0,0
2283.37207,Idle,0,0
2283.971924,Idle,0,0
2284.572021,Idle,0,0
2285.172119,Idle,0,0
2285.771973,Idle,0,0
2286.37207,Idle,0,0
2286.971924,Idle,0,0
2287.572021,Idle,0,0
2288.172119,Idle,0,0
2288.771973,Idle,0,0
2289.37207,Idle,0,0
2289.971924,Idle,0,0
2290.572021,Idle,0,0
2291.172119,Idle,0,0
2291.771973,Idle,0,0
2292.37207,Idle,0,0
2292.971924,Idle,0,0
2293.572021,Idle,0,0
2294.172119,Idle,0,0
2294.771973,Idle,0,0
2295.37207,Idle,0,0
2295.971924,Idle,0,0
2296.572021,Idle,0,0
2297.172119,Idle,0,0
2297.771973,Idle,0,0
2298.37207,Idle,0,0
2298.971924,Idle,0,0
2299.572021,Idle,0,0
2300.172119,Idle,0,0
2300.771973,Idle,0,0
2301.37207,Idle,0,0
2301.971924,Idle,0,0
2302.572021,Idle,0,0
2303.172119,Idle,0,0
2303.771973,Idle,0,0
2304.37207,Idle,0,0
2304.971924,Idle,0,0
2305.572021,Idle,0,0
2306.172119,Idle,0,0
2306.771973,Idle,0,0
2307.37207,Idle,0,0
2307.971924,Idle,0,0
2308.572021,Idle,0,0
2309.172119,Idle,0,0
2309.771973,Idle,0,0
2310.37207,Idle,0,0
2310.971924,Idle,0,0
2311.572021,Idle,0,0
2312.172119,Idle,0,0
2312.771973,Idle,0,0
2313.37207,Idle,0,0
2313.971924,Idle,0,0
2314.572021,Idle,0,0
2315.172119,Idle,0,0
2315.771973,Idle,0,0
2316.37207,Idle,0,0
2316.971924,Idle,0,0
2317.572021,Idle,0,0
2318.172119,Idle,0,0
2318.771973,Idle,0,0
2319.37207,Idle,0,0
2319.971924,Idle,0,0
2320.572021,Idle,0,0
2321.172119,Idle,0,0
2321.771973,Idle,0,0
2322.37207,Idle,0,0
2322.971924,Idle,0,0
2323.572021,Idle,0,0
2324.172119,Idle,0,0
2324.771973,Idle,0,0
2325.37207,Idle,0,0
2325.971924,Idle,0,0
2326.572021,Idle,0,0
2327.172119,Idle,0,0
2327.771973,Idle,0,0
2328.37207,Idle,0,0
2328.971924,Idle,0,0
2329.572021,Idle,0,0
2330.172119,Idle,0,0
2330.771973,Idle,0,0
2331.37207,Idle,0,0
2331.971924,Idle,0,0
2332.572021,Idle,0,0
2333.172119,Idle,0,0
2333.771973,Idle,0,0
2334.37207,Idle,0,0
2334.971924,Idle,0,0
2335.572021,Idle,0,0
